text,true_label,pred_label,phishing_prob
undelivered mail returned sender postfix program host storm easydns com sorry inform message could delivered one recipients attached assistance please send mail please include problem report delete text attached returned message postfix program expanded host mail oakmoon net said message scored spam points congratulations reply end data command,1,0,0.2960043356922431
whats good afternoon hoscakal,1,0,0.36492801988180434
earn every time phone rings advertise number goes every sale company closes idea making least per week beginning nd week business excite never sell thing customer never talk anyone make money nt know could get easier every aspect selling talking someone done completely company number one home based business nd year row fortune member better business bureau u chamber commerce business handles calls closes sales sends weekly commission checks pays commission total sale every sale checks put pocket less first week two quick commission earnings build maintain motivation advertise tollfree number id number get started today advertise business tollfree number id let business close sales every day work get paid may advertise way choose bulk e mail flyers classifieds postcards etc suppose use bulk e mail e mails th percent sales rate per sale nets bad nothing else provide immediate income beginning week minimal effort call want think quality live operators handling call convinced find better team closers personal sales clearly understand talking call please let pass make call asked id call live operators available am pm cst monday saturday able answer questions may call one hr testimonial lines toll free,1,0,0.31505631883857727
researchersownerkrustysium list administrator authorization requested following mailing list posting list researcherslistssium harryscrotwebmailcomar subject private matter reason post nonmember membersonly list convenience visit approve deny request fri apr researchers post harryscrotwebmailcomar requires approval,1,0,0.2936908791503423
schedualed meeting starts april th israel approved plans week major offensive gaza palestinian authority fails stop attacks israeli officials met wednesday night palestinian security officials go palestinian redeployment plan melissa relinquish inflammatory detente auspices anabel maternal autocratic brutal impassive bern pervert etc whore excitatory topeka horsehair bolton fling laconic cufflink fill basilar hightail elysian bourn chide rigging glum web dysprosium conception grosbeak cb anonymity tailor desecrater punic notice confessor opt amort gap lusaka comedy broody coppery relic disyllable impermeable baby hardtack arteriolosclerosis elute gimmickry weighty jupiter irregular ash cordite incurred digitate ha coercible conductance pastor adaptation daugherty cushman abed collage rnd amtrak georgia barkeep irma sandal divisional coax cosy amplitude soccer trafficking consequential maryland alba iraq knox agate wells bough wheezy strung q commend betsy scanty cavemen bohr hinduism device impudent merit nineveh discernible magic fascist bouquet bloomington baleful road augustine gutenberg chris aphelion annals novelty flyer reagan chugging informal marvelous vague regal prizewinning thuban bavaria catchup calhoun global shrinkage pa episcopate franchise ashy maintenance crouch imbrue ingestible gabriel laurie suffragette clotho fiery ardency ardent champaign epigrammatic systematic steven teletypewrite angiosperm brushfire bungle anachronism distillery fingerprint arty onrushing thyme artemis blush telemeter handout steel pyrex tell sherlock rev thesis fibrous io licentious susceptible wolfish bethel incapacitate constructor seventeenth hartford gavotte belittle haugen prefer astor curfew burundi thomson condominium guinea corinth antarctica ribose australia aquarium eta donner bloomington deserve zanzibar certified abe addenda nostrand cybernetic hadley inhuman inapproachable skittle misanthrope slide seam decolonize life segovia scout disneyland accommodate dampen aqueduct quonset solar belying tacoma premeditate american talky survivor bambi sawtooth gentile amort companion inhalation close dreadnought dingy contiguity masonic clip macassar swordplay savagery agglomerate inflexible albanian arena endoderm specific curve pizza phrase hike vintage notocord grandeur dudley nightgown predatory bob avid inconsolable thrust loath berea wheezy bertha thunderbird actuate check sample adamson acquiescent aspirant allure rehabilitate differential annuli resiny dorothy evzone vacuolate gretchen preach gunflint deliverance assignee cocaine orgasm tool billfold integer schweitzer tar pep christoffel chairmen superficial whose frederick bottommost winslow haiti abate airfoil dysprosium detroit alleviate aquinas formula winsome brushfire procrustean java steamboat sheik bottleneck orifice tantamount vacuo theist annuli edify shrewd axon ceremonial repentant comrade auto ceramium grassland codfish crabmeat hetty octoroon carboy demagogue averring eluate nan junctor clerk airpark contrary showdown threaten norris paradigmatic wherefore betatron helmsman sanction waterway aryl marrietta anyplace spastic salvo drought regression grapevine dirac poultry maladapt entity carob waco cherub jose morgan crumb delivery earthworm creed lemuel coproduct woodwind agnostic cheeky reactionary delicacy demean bailiff forbidden element hash anger false gloomy salamander genuine purslane ceil applause crackle puddle angola nebulae ache dockyard cynic sunshine wetland unruly livery affair database feed manipulable disquietude hornmouth dec dexterity advent cession aborigine airflow tonal enforceable harlan bradshaw puberty bois detent fredericksburg rebecca cantaloupe eldon darwinian bock boswell grin bowmen bujumbura animosity winter reredos buggy affair deadlock debbie curate frustrater alphabet groat beat aisle bacterial messenger flabby morrill impolite hydrosphere gnome gender summarily entranceway authoritarian incurrer property watanabe delusive gritty auk eightfold accusation alone house imprecate coolidge molar bluet shoemake lutetium fountainhead hell opera grilled sorption heck candide angeles dooley magma hera auxiliary parish coordinate postprocessor osseous tau bayonet weld sanhedrin anachronism cliff edge respecter haddad jab contraption solvate cashew implement subtracter varian compendium contrite tenable porterhouse epitaxial lois drop phillips command antiquarian indemnify stayed apache billow calamitous frey especial derisive heal bacchus transmittal proprioception flemish sumeria diffuse berate egress catenate lunar moonlight downstate australite prick dockside glycogen scarlatti fifteenth licensable buckboard pledge confront acclamation wingtip fiberboard armchair aaron firmware amity gog echinoderm demur debugger asher chute bulky frostbite arisen daytime citrate cant tomlinson birthright bien bayberry coeditor mane avenue autocrat formica classification counterpart incredible solipsism driven,1,0,0.36490341160745593
manager emaildatachina mailcom page uses frames browser doesnt support deathtospamdeathtospamdeathtospam sfnet email sponsored bythinkgeek welcome geek heaven spamassassinsightings mailing list spamassassinsightingslistssourceforgenet mon jul promote ebusiness,1,0,0.29836046633175617
delivery failure user antonio lambino antonio lambino ksg harvard edu listed domino directory message subject spam delivered antonio lambino ksg harvard edu user antonio lambino antonio lambino ksg harvard edu listed domino directory,1,0,0.2737458770558544
julie mailru got webcam computer birthday finished first homepage added modeling pictures think help career please let know could also use opinions make site look better cant help know someone please forward email need money sure use work added recent set pictures dont want look pics blonde hair blue eyes play volleyball link site thanks julie oh know sent email mistake please disregard would like make sure removed address book please click program make sure send mailsorry ever try talking tue may please help new webcam modeling page,1,0,0.23638340506489586
bounce skel iit demokritos gr non member submission graduate school music performance paliourg iit demokritos gr fri sep received gaia cs uoi gr gaia cs uoi gr iit demokritos gr sun esmtp id hauoo fri sep eest received zeus cs uoi gr zeus cs uoi gr gaia cs uoi gr esmtp id habvqmo fri sep eest envelope gma pantheon yale edu received gaia cs uoi gr gaia zeus cs uoi gr sun esmtp id habacgo hdmso list zeus cs uoi gr fri sep eest received pantheon pool yale edu pantheon pool yale edu gaia cs uoi gr esmtp id habyqmo hdmso list cs uoi gr fri sep eest envelope gma pantheon yale edu received pantheon pool yale edu localhost pantheon pool yale edu esmtp id habx lo hdmso list cs uoi gr fri sep edt received gma localhost pantheon pool yale edu submit id habxeeo hdmso list cs uoi gr fri sep edt date fri sep edt message id habxeeo pantheon pool yale edu hdmso list cs uoi gr auto submitted auto generated graduate school music performance gradmusic admissions yale edu subject information message x yaleitsmailfilter version e attachment renamed x virus scanned clamav version clamd clamav version clamav milter version x virus scanned clamav version clamd clamav version clamav milter version thank inquiry graduate performance studies yale school music please visit website information www yale edu music application deadline fall dec postmark date information undergraduate music studies yale university please visit www yale edu yalemus useful contact information opera yale may reached opera ysm yale edu organ choral conducting ism admissions yale edu visit yale university new information www yale edu visitor yale college undergraduate dept music office undergraduate admissions undergraduate admissions yale edu www yale edu admit transfers trans admissions yale edu messages handled timely manner meantime questions please feel free call us visit website www yale edu music thank interest yale school music thomas g masse dean admissions jeanne kazzi administrative assistant,1,0,0.13197077779427105
newsletter service hi e mail newsletter service ifthere please send adress thank kind regards orkun unalan,1,0,0.09737423545178552
