text,true_label,pred_label,phishing_prob
anstech consultants pqgbwaxtraconz interested using program particularly keen grandparents able see action add friends sign guests thank les anstis fri aug friends,0,1,0.41000900079353153
grlygrl aolcom took week get towering pine hemlock thu aug pdt surprised,0,1,0.7929984893860229
online tech tips aseem gmailcom online tech tips automatically log windows xp posted aug cdt logging windows every time restart pc quite annoying especially true several restarts required installing updates new software applications one way achieve use windows power toy tweak ui explained one previous posts also setup directly windows keep mind tip allow anyone startup pc login definitely want take account situation security workplace environment curious eyes concern probably want set use best judgement first click start go run type control userpasswords without quotes click ok user accounts dialog window come uncheck box next users must enter user name click ok right away automatically log dialog box pop want enter username password twice click ok restart username password screen bypassed boot directly desktop reminder take security situation account could enable upgrades computer require several restarts set password protection back going user accounts rechecking box written mysticgeek also contributing author howto geek related postshow windows vista works windows vista cool new features apis part restart manager apiautomatically log windows xpmore keyboard shortcuts windows logo key shortcutsdisable restart message windows automatic update messagehow restart windows safe modewindows live writer beta released many new featurestweak windows xp settings tweakuicopyright c online tech tips aseem kishore digitalfingerprint a a dce d e b fcakmk automatically log windows xp use mozilla firefox safer faster browsing posted aug cdt people dependent internet nowadays enjoy chatting paying bills online shopping right comfort homes also save lot personal information file computers need fully protected possible danger times download something unknowing could mess machine lot browsers choose really proven safe fast browser secured gives ultimate protection mozilla firefox protected safer faster computer get protected virus spywares worms forms malicious destructive programs free yes read right free heres download mozilla firefox first go mozillacom follow prompt click green button says download firefoxfree wait download box pops click run button wait download completed setup wizard window appear click next complete setup accept agreement click next button choose standard click install finally click finish asks want default browser may may choose enjoy surfing net without worries catching destructive programs look firefox icon desktop click ready new features browser parental control customized security settings password manager antiphishing automated update oneclick book marking instant website id lot wed aug computer tips computer guy,0,1,0.5693324579784165
footsmart qvmssoqguemailcampaignfootsmartcom email sent footsmart ensure delivery inbox bulk junk folders please add qvmssoqguemailcampaignfootsmartcom address book click view images lower back pain shop footsmart expertly selected products ease pain promote lower back health stamina inversion stretch station large cushiseat miracleback pillow gseat cushion footsmart leg wedge ea ergonomic back support system posture corrective brace shop womens shoes shop mens shoes shop clearance shop online find relief footsmart expert lower body healthcare sells comfort footwear healthcare products designed keep moving comfort receiving email previously purchased footsmart requested additional information us via footsmartcom please visit us footsmartcom information unsubscribe youd prefer contact footsmart via postal mail please send inquiries footsmart triangle parkway suite norcross ga click unsubscribe tue aug back pain relief home go,0,1,0.7986434396144121
game uniforms team game week let know going would assume everyone leave come back run books jersey done cost try bring cash wed shirts black red numbers everyone please try wear black shorts play like shit least look good bryan,0,1,0.4685986292286354
mickisch freda ebsnrgtrfmasseyacnz hi students need extra help college sciences offering give first year students hours free tutoring per semester postgrad students good subject particularly mathematics area would available interested tutoring per hour hours guaranteed please contact sian moran assistant academic programmes administrator college sciences quad level room qa albany telephone extn email eqkvbnmasseyacnz thank fri aug tutors wanted tutor st year students,0,1,0.42507354496211536
cost service announcement please see attachment,0,1,0.6305607683951228
fw sent friday november subject football scare texas football practice delayed morning nearly two hours one players way locker room happened look notice suspicious looking unknown powdery substance practice field head coach r c slocum immediately suspended practice fbi called investigate complete field analysis fbi determined thewhite substance unknown players actually goal line practice resumed fbi agents decided team likely encounter substance internet email confidentiality footer privileged confidential information may contained message addressee indicated message responsible delivery message person may copy deliver message anyone case destroy message kindly notify sender reply email please advise immediately employer consent internet email messages kind opinions conclusions information message relate official business firm shall understood neither given endorsed,0,1,0.6602025030120409
astrologycom greenscopes greenscopesrpastrologycom daily greenscope difficulties reading email also check daily greenscope clicking please add greenscopesrpastrologycom address book ensure newsletters delivered correctly horoscopes love psychic readings predictions numerology chinese tarot astrology readings dear gordon daily scorpio greenscope friday august small generous gesture part create positive lifechanging snowball effect life stranger whens last time paid person behind drive thru picked tab another restaurant patron never try express gratitude excellent service kind word management generous tip excellent way stir good karma free reading day daily divinations numerology calendar digitize life help free sample numerology calendar overview singles love cosmic calendar quickie chinese lesbianscope teen babyscope dogscope home garden extended couples love work astroslam feng shui tip gayscope flirt beautyscope catscope espa ol tarot card day video feed room copyright lo scarabeo srl tarot journey orient two chalices two chalices card suggests power today lies compromise alone offer accept love support happiness connect pleasure beauty hearts desire two sides everything dont always right empowered expression gift attraction blabber sienna miller blows top bat signal lights gothams night family drama smacks brooke hogan free sample green readings world peace reading environmental affinity reading medicine wheel reading mayaaztec reading explore astrologycom free sample readings personalized readings celebrity astrology astrology lessons sun sign central psychic advertisement sponsored links yahoo click wish edit current information sign exciting newsletters click unsubscribe daily greenscope need email us please include following lines reply email recipient gvcormacgvcceaschallengecc annmn grg grg nr f y grg mub aubft thu aug astrologycom greenscopes,0,1,0.4074561805777643
fw ever tired really cute moms think bonnie hitschel ever tired jpg,0,1,0.5714135465401452
